Product_A,Product_B,CoCount,Support,Confidence_A_to_B,Confidence_B_to_A,Lift
MINOR KIT TMC,MINOR KIT W/C(J29/250),38,0.002233323538054658,0.07770961145194274,0.20765027322404372,7.225295294288556
BRAKE FLUID 1/2 Lt DOT3 (Non Petroleum),BRAKE FLUID 100 ml  DOT4 (Non Petroleum),48,0.002821040258595357,0.15286624203821655,0.13259668508287292,7.185135658232747
"SERVICE KIT; SHOE KIT, ALTO CD,170","W/C ASSLY RR, Ø 15.87MM",122,0.007170143990596532,0.23062381852551986,0.22141560798548093,7.121713742670999
"PAD KIT,  Frt","SERVICE KIT; SHOE KIT, ALTO CD,170",92,0.005406993828974434,0.22009569377990432,0.17391304347826086,7.079259413355523
"SHOE KIT WITH HBL, OMNI UPG.",Service kit; Shoes New Swift,98,0.005759623861298854,0.2273781902552204,0.17753623188405798,7.008767947812636
W/C ASSY. LH.omni (k26/40),W/C ASSY. RR.(17.46 mm) YE2,70,0.004114017043784896,0.1338432122370937,0.2153846153846154,7.0072069421973815
MINOR KIT W/C FR(J54/250),MINOR KIT W/C(J29/250),27,0.0015868351454598883,0.07377049180327869,0.14754098360655737,6.859043267938726
W/C ASSY. RR. LH. CULTUS (17.46 mm),W/C ASSY. RR. RH.(17.46 mm),51,0.0029973552747575667,0.1559633027522936,0.13110539845758354,6.821890993136954
MINOR KIT BAL TMC IAM,MINOR KIT TMC PIAGGIO,34,0.001998236849838378,0.14847161572052403,0.0913978494623656,6.790979950227731
"SERVICE KIT; SHOE KIT, ALTO CD,170",SHOE KIT(12),189,0.011107846018219219,0.3572778827977316,0.21046770601336304,6.769580373945883
SHOE KIT(12),Service kit; Shoes New Swift,197,0.011578019394651778,0.21937639198218262,0.35688405797101447,6.762118314450793
BRAKE FLUID 1/2 Lt DOT3 (Non Petroleum),BRAKE FLUID 1/4 Lt  DOT4 (Non Petroleum),108,0.006347340581839553,0.34394904458598724,0.12442396313364056,6.742273034136605
"SHOE KIT WITH HBL, OMNI UPG.","W/C ASSLY RR, Ø 15.87MM",94,0.005524537173082574,0.21809744779582366,0.1705989110707804,6.734896686471759
BONDED BRAKE SHOE KIT (KBX type),"SHOE KIT WITH HBL, OMNI UPG.",74,0.004349103732001176,0.16933638443935928,0.1716937354988399,6.685054712843847
MINOR KIT TMC,MINOR KIT W/C FR(J56/250),131,0.007699089039083162,0.26789366053169733,0.19096209912536444,6.644621915374389
SHOE HOLD DOWN SPRING(A.A),SHOE KIT  RH(A.A.),68,0.003996473699676756,0.2869198312236287,0.0921409214092141,6.615096108766995
MINOR KIT TMC,MINOR KIT W/C FR.(J46/250),38,0.002233323538054658,0.07770961145194274,0.19,6.611145194274029
PAD FRICTION KING,"SERVICE KIT; SHOE KIT, ALTO CD,170",101,0.005935938877461064,0.20159680638722555,0.19092627599243855,6.484252666689306
MINOR KIT (Only Seals),MINOR KIT BAL TMC IAM,28,0.0016456068175139582,0.08668730650154799,0.1222707423580786,6.440980437222005
SHOE KIT  RH(A.A.),SPRING SHOE RETURN UPPER(G46/400),35,0.002057008521892448,0.04742547425474255,0.2777777777777778,6.404320987654322
MINOR KIT BAL TMC IAM,MINOR KIT W/C FR(J56/250),59,0.0034675286511901262,0.2576419213973799,0.08600583090379009,6.3903459075458
BONDED BRAKE SHOE KIT (KBX type),W/C ASSY. RR.(17.46 mm) YE2,53,0.0031148986188657066,0.12128146453089245,0.16307692307692306,6.349551135363492
"SERVICE KIT; SHOE KIT, ALTO CD,170",W/C ASSY. LH.omni (k26/40),103,0.006053482221569204,0.1947069943289225,0.19694072657743786,6.334492368081484
BONDED BRAKE SHOE KIT (KBX type),"PAD KIT,  Frt",68,0.003996473699676756,0.15560640732265446,0.16267942583732056,6.334074211949679
SPRING SHOE RETURN UPPER(G46/400),W/C ASSY. RH(19.05 mm),12,0.0007052600646488392,0.09523809523809523,0.04669260700389105,6.305354826755606
"PAD KIT,  Frt",Service kit; Shoes New Swift,85,0.004995592124595945,0.20334928229665072,0.1539855072463768,6.2680942722418695
SHOE KIT FRONT (A.A.),SPRING SHOE RETURN UPPER(G46/400),28,0.0016456068175139582,0.0462046204620462,0.2222222222222222,6.23945727906124
BONDED BRAKE SHOE KIT (KBX type),SHOE KIT(15),68,0.003996473699676756,0.15560640732265446,0.1588785046728972,6.186081823820015
BONDED BRAKE SHOE KIT (KBX type),Service kit; Shoes New Swift,87,0.005113135468704085,0.19908466819221968,0.15760869565217392,6.136640632772859
BONDED BRAKE SHOE KIT (KBX type),SHOE KIT(12),141,0.008286805759623862,0.32265446224256294,0.15701559020044542,6.1135475223354225
"W/C ASSLY RR, Ø 15.87MM",W/C ASSY LH SANTRO,113,0.006641198942109903,0.20508166969147004,0.19618055555555555,6.058098280903408
"PAD KIT,  Frt","W/C ASSLY RR, Ø 15.87MM",82,0.004819277108433735,0.19617224880382775,0.14882032667876588,6.057841766600961
"SERVICE KIT; SHOE KIT, ALTO CD,170",SHOE KIT(15),80,0.0047017337643255955,0.15122873345935728,0.18691588785046728,6.012048831334028
"PAD KIT,  Frt",W/C ASSY. RR.(17.46 mm) YE2,48,0.002821040258595357,0.11483253588516747,0.1476923076923077,6.011924917188074
MINOR KIT BAL TMC IAM,MINOR KIT W/C FR.(J46/250),16,0.000940346752865119,0.06986899563318777,0.08,5.94410480349345
SHOE HOLD DOWN SPRING(A.A),SHOE KIT FRONT (A.A.),50,0.0029385836027034967,0.2109704641350211,0.08250825082508251,5.923535391513834
BONDED BRAKE SHOE KIT (KBX type),PAD FRICTION KING,76,0.004466647076109316,0.17391304347826086,0.15169660678642716,5.906447973617983
"SHOE KIT WITH HBL, OMNI UPG.",W/C ASSY. RH(K23/40),86,0.005054363796650014,0.19953596287703015,0.14956521739130435,5.9045294058307265
Service kit; Shoes New Swift,W/C ASSY. LH.omni (k26/40),100,0.0058771672054069935,0.18115942028985507,0.19120458891013384,5.893742899104941
MINOR KIT BAL TMC IAM,MINOR KIT W/C FR(J54/250),29,0.0017043784895680281,0.12663755458515283,0.07923497267759563,5.887262271219606
BONDED BRAKE SHOE KIT (KBX type),W/C ASSY. LH.omni (k26/40),79,0.004642962092271525,0.18077803203661327,0.15105162523900573,5.881335019317352
"SERVICE KIT; SHOE KIT, ALTO CD,170",Shoe Kit,287,0.016867469879518072,0.5425330812854442,0.18268618714194781,5.87600278680575
PAD FRICTION KING,SHOE KIT(12),155,0.00910960916838084,0.3093812375249501,0.17260579064587972,5.862050953771744
W /C ASSY RH SANTRO,W/C ASSY. RH(K23/40),108,0.006347340581839553,0.1978021978021978,0.18782608695652173,5.853225035833731
PAD FRICTION KING,Service kit; Shoes New Swift,94,0.005524537173082574,0.18762475049900199,0.17028985507246377,5.783396974167607
MINOR KIT TMC PIAGGIO,MINOR KIT W/C(J29/250),23,0.0013517484572436085,0.06182795698924731,0.12568306010928962,5.748648569246136
MINOR KIT W/C FR(J56/250),MINOR KIT W/C(J29/250),42,0.002468410226270937,0.061224489795918366,0.22950819672131148,5.692539310806289
SHOE KIT RH RR APE CITY (I 11/20),SPRING SHOE RETURN UPPER(G46/400),9,0.0005289450484866295,0.04186046511627907,0.07142857142857142,5.6528239202657815
SHOE KIT  (1 LEADING- 1 TRAILING),SPRING SHOE RETURN UPPER(G46/400),31,0.001821921833676168,0.04177897574123989,0.24603174603174602,5.641819620930133
W /C ASSY RH SANTRO,W/C ASSY. RR. RH.(17.46 mm),70,0.004114017043784896,0.1282051282051282,0.17994858611825193,5.607738448355415
MINOR KIT W/C FR.(J46/250),MINOR KIT W/C(J29/250),12,0.0007052600646488392,0.06,0.06557377049180328,5.578688524590165
BRAKE FLUID 1/4 Lt  DOT4 (Non Petroleum),BRAKE FLUID 100 ml  DOT4 (Non Petroleum),103,0.006053482221569204,0.11866359447004608,0.2845303867403315,5.57751674007689
Service kit; Shoes New Swift,Shoe Kit,283,0.01663238319130179,0.5126811594202898,0.18014003819223426,5.552686141016061
W/C ASSY LH SANTRO,W/C ASSY. RH(K23/40),108,0.006347340581839553,0.1875,0.18782608695652173,5.54836956521739
