Rank,State,Part Group,Material Code,Material Description,Total Quantity in State,Total Sales Value in State,State Market Share (%)
230,Maharashtra,BRAKE PARTS,ZF86AB75947GM,MINOR KIT W/C(J92/250),130.0,6292.5,55.71
231,Maharashtra,BRAKE PARTS,ZF047453307GM,SERVICE KIT PAD SET TOYOTA EFC(I4/8),3.0,6261.03,60.0
232,Jammu and Kashmir,BRAKE PARTS,ZF047166047GM,SHOE RET SPG UPPER,350.0,6212.7,89.8
233,Maharashtra,EMS,ZF04N264705SS,WHEEL SPEED SENSORS,9.0,6157.46,56.25
234,Orissa,BRAKE PARTS,ZF86AB74187GM,KIT SHOE HOLD DOWN(J62/250),145.0,6147.51,64.4
235,Orissa,BRAKE PARTS,ZF047156217GM,STRUT ASSY. LH,25.0,6116.83,64.1
236,Karnataka,BRAKE PARTS,ZF047156357GM,AUTO ADJ ASSLY REAR RH,24.0,6037.84,52.6
237,Karnataka,BRAKE PARTS,ZF04N648547TG,ROTOR_GLOSTER FR,2.0,6034.76,100.0
238,Gujarat,BRAKE PARTS,ZF04N603887TB,Brake Pad_Tru Blue,6.0,5902.83,100.0
239,Rajasthan,OTHERS,ZF04N36759AFL,AIR FILTER I 20 ELITE,55.0,5899.4,84.62
240,Maharashtra,BRAKE PARTS,ZF04N643407TG,Rotor (S_Cross),4.0,5881.36,66.67
241,Karnataka,BRAKE PARTS,ZF04N171547GM,PAD KIT,8.0,5866.0,100.0
242,Delhi,BRAKE PARTS,ZF047167957GM,REAR BRAKE ASSLY RH,6.0,5757.1,60.0
243,Telangana,BRAKE PARTS,ZF04N155577TG,ROTOR (Ikon/Figo Diesel),6.0,5752.5,75.0
244,Maharashtra,BRAKE PARTS,ZF04N129237TG,ROTOR (SUMO GRAND XENANA),5.0,5708.84,100.0
245,Rajasthan,OTHERS,ZF04N25255AFL,A/F Maximo,75.0,5708.26,100.0
246,Rajasthan,OTHERS,ZF04N37384AFL,AIR FILTER BREZZA,54.0,5677.46,100.0
247,Karnataka,BRAKE PARTS,ZF04N543777TG,Rotor Lau_ra I,4.0,5602.16,100.0
248,Rajasthan,OTHERS,ZF04N18362AFL,A/F Swift diesel,83.0,5582.58,89.25
249,Madhya Pradesh,BRAKE PARTS,ZF047163267GM,DRUM BRAKE; M&M SCORPIO(P)BR LH,2.0,5557.68,100.0
250,Maharashtra,BRAKE PARTS,ZF047156337GM,AUTO ADJ ASSLY FRONT RH,22.0,5537.1900000000005,75.87
251,Uttar Pradesh,BRAKE PARTS,ZF04L774557GM,Disc Brake Assy Frt RH,2.0,5491.72,100.0
252,Uttar Pradesh,BRAKE PARTS,ZF04L774547GM,Disc Brake Assy Frt LH,2.0,5491.72,100.0
253,Maharashtra,BRAKE PARTS,ZF04N601907TC,Brake Pad_Tru Blue CERAMIC,4.0,5479.44,80.0
254,Chhattisgarh,BRAKE PARTS,ZF04N601287TB,Brake Pad_Tru Blue,4.0,5347.52,66.67
255,Assam,EMS,ZF04N344135FP,IN TANK FUAL PUMP NEW BALENO PETROL,5.0,5215.6,71.43
256,Maharashtra,BRAKE PARTS,ZF04N600897TC,Brake Pad_Tru Blue CERAMIC,4.0,5178.78,57.14
257,Madhya Pradesh,BRAKE PARTS,ZF04L67474KIT,SERVICE KIT; MAJOR CSC T-1,23.0,5115.9,60.51
258,Jammu and Kashmir,BRAKE PARTS,ZF04L82047KIT,CMC Minor Kit,58.0,5115.89,51.15
259,Karnataka,BRAKE PARTS,ZF04N651967TG,"ROTOR_ARTEON, TIGUAN",2.0,5036.12,100.0
260,Manipur,EMS,ZF04N311035FP,Fuel Pump Module_Wagon R old,2.0,5019.25,100.0
261,Maharashtra,BRAKE PARTS,ZF04N602477TC,Brake Pad_Tru Blue CERAMIC,4.0,5003.92,100.0
262,Assam,BRAKE PARTS,ZF04N43145NIL,CYLINDER SET MASTER,25.0,4985.5,71.43
263,Uttarakhand,LUBES,ZF04N503647GM,RADIATOR COOLANT BLUE 5 LTR,12.0,4906.4400000000005,100.0
264,Uttarakhand,LUBES,ZF04N503617GM,RADIATOR COOLANT BLUE 3 LTR,18.0,4859.71,100.0
265,Rajasthan,OTHERS,ZF04N36764AFL,AIR FILTER SCORPIO CRDI,20.0,4835.64,66.67
266,Manipur,BRAKE PARTS,ZF04N632117TG,ROTOR_SELTOS RR,4.0,4798.35,100.0
267,Tamil Nadu,BRAKE PARTS,ZF047149077GM,W/C FR(k35/25),10.0,4793.75,100.0
268,Maharashtra,BRAKE PARTS,ZF04N602347TB,Brake Pad_Tru Blue,4.0,4703.24,66.67
269,Bihar,OTHERS,ZF04N18366AFL,A/F Tata Venture/ Super ACE,16.0,4663.36,100.0
270,Madhya Pradesh,BRAKE PARTS,ZF04N602717TC,Brake Pad_Tru Blue CERAMIC,3.0,4608.9,60.0
271,Andra Pradesh,BRAKE PARTS,ZF047492827GM,SHOE RETURN SPRING,200.0,4602.0,100.0
272,Tamil Nadu,BRAKE PARTS,ZF86AB70327GM,MINOR KIT W/C FR(J24/250),70.0,4456.28,76.35
273,Orissa,BRAKE PARTS,ZF04N606257TC,Brake Pad_Tru Blue CERAMIC,5.0,4440.93,53.76
274,Rajasthan,OTHERS,ZF04N25279AFL,A/F Alto,70.0,4311.72,100.0
275,Maharashtra,EMS,ZF04N263375FP,IN-TANK FUEL PUMP,4.0,4236.92,66.67
276,Maharashtra,BRAKE PARTS,ZF86AB74567GM,MINOR KIT W/C(J70/250),65.0,4164.82,53.67
277,Telangana,EMS,ZF04N264885SS,WHEEL SPEED SENSORS,4.0,4037.49,50.0
278,Maharashtra,BRAKE PARTS,ZF047742397GM,Service kit;wheel cyl YP8(J17/250),56.0,4028.28,85.09
279,Maharashtra,OTHERS,ZF04N264604RL,RELAYS,110.0,4005.52,87.74
280,Andra Pradesh,BRAKE PARTS,ZF047492837GM,SHOE RETURN SPRING F/P,200.0,3813.53,100.0
281,Punjab,BRAKE PARTS,ZF047171437GM,HOSE ASSY -MC5 KWSA(745mm),10.0,3765.97,100.0
282,Maharashtra,BRAKE PARTS,ZF047155167GM,BLEEDER,150.0,3759.04,100.0
283,Maharashtra,EMS,ZF04N264755SS,WHEEL SPEED SENSORS,4.0,3749.08,100.0
284,Rajasthan,OTHERS,ZF04N25259AFL,AIR FILTER,50.0,3699.3,100.0
285,Maharashtra,EMS,ZF04N262125IC,IGNITION COIL,1.0,3699.25,50.0
286,Kerala,EMS,ZF04N262065IC,IGNITION COIL,2.0,3652.45,100.0
287,Gujarat,BRAKE PARTS,ZF04L981747TW,PAD  KIT,70.0,3650.92,58.33
288,Madhya Pradesh,BRAKE PARTS,ZF04L688347GM,"PAD KIT, RR.",4.0,3629.44,56.41
289,Rajasthan,OTHERS,ZF04N36721AFL,AIR FILTER CRE_TA DIESEL,30.0,3610.7999999999997,100.0
290,Tamil Nadu,EMS,ZF04N264765SS,WHEEL SPEED SENSORS,4.0,3604.9,100.0
291,Tamil Nadu,BRAKE PARTS,ZF04L77483KIT,"CSC ASSY LONGØ23.81 M12, IAM TATA SPACIO",6.0,3589.56,100.0
292,Telangana,BRAKE PARTS,ZF04L929847TG,Rotor (Indica Vent),6.0,3566.56,60.0
293,Maharashtra,BRAKE PARTS,ZF04N167407TG,ROTOR (Vista TDI),5.0,3532.82,51.95
294,Gujarat,LUBES,ZF047737207GM,RADIATOR COOLANT 1 LTR.,30.0,3524.07,100.0
295,Rajasthan,BRAKE PARTS,ZF86AB77117GM,MINOR KIT W/C RR.(J97/250),50.0,3451.5,100.0
296,Punjab,BRAKE PARTS,ZF04N602407TB,Brake Pad_Tru Blue,3.0,3431.92,100.0
297,Uttar Pradesh,BRAKE PARTS,ZF04L709897GM,"KIT PAD SPRING KIT, REAR W201",10.0,3420.82,100.0
298,Punjab,BRAKE PARTS,ZF04N604147TB,Brake Pad_Tru Blue,3.0,3390.46,60.02
299,Maharashtra,BRAKE PARTS,ZF04N599447TC,Brake Pad_Tru Blue CERAMIC,2.0,3353.61,50.02
300,Jharkhand,BRAKE PARTS,ZF047484467GM,AUTO ADJUSTER KIT RH(J12/100),30.0,3345.66,96.83
301,Rajasthan,BRAKE PARTS,ZF86AB72647GM,MINOR KIT W/C RR.(J39/250),50.0,3313.45,100.0
302,Maharashtra,BRAKE PARTS,ZF04N222107GM,Shoe Return Spring Kit,166.0,3255.7400000000002,53.13
303,Rajasthan,BRAKE PARTS,ZF04L906337TW,SHOE KIT 2W,40.0,3221.4,100.0
304,West Bengal,BRAKE PARTS,ZF047155417GM,BLEEDER SCREW,130.0,3190.7200000000003,56.52
305,Rajasthan,BRAKE PARTS,ZF04N605377TC,Brake Pad_Tru Blue CERAMIC,2.0,3135.5,100.0
306,Gujarat,BRAKE PARTS,ZF04N43141NIL,CALIPER SEAL KIT,50.0,3106.35,100.0
307,Orissa,BRAKE PARTS,ZF04N58200KIT,MINOR KIT TMC BOLERO (Ø23.81),20.0,3068.0,100.0
308,Gujarat,BRAKE PARTS,ZF04N155597TG,ROTOR (Spar_k),4.0,3058.8,66.67
309,Jharkhand,EMS,ZF04N262225IC,IGNITION COIL,2.0,3034.25,100.0
310,Gujarat,BRAKE PARTS,ZF04N43142NIL,SEAL SET  PISTON-6,100.0,2991.3,76.02
311,Tamil Nadu,BRAKE PARTS,ZF047141087GM,SPRING SHOE SET TRAILING RH,100.0,2929.94,75.52
312,Tamil Nadu,BRAKE PARTS,ZF04N244297TG,IAM BRAKE DISC VW JETTA TYPE I DIESEL,2.0,2914.6,100.0
313,Gujarat,BRAKE PARTS,ZF04N43139NIL,CALIPER SEAL KIT,100.0,2914.6,100.0
314,Tamil Nadu,BRAKE PARTS,ZF04L71200KIT,MINOR TMC ISUZU AMB,20.0,2883.92,55.56
315,Maharashtra,BRAKE PARTS,ZF04N598797TC,Brake Pad_Tru Blue CERAMIC,2.0,2784.22,100.0
316,Gujarat,BRAKE PARTS,ZF04N43143NIL,CALIPER SEAL KIT,100.0,2761.2,100.0
317,Maharashtra,BRAKE PARTS,ZF86AB73667GM,SHOE KIT FRONT LH(I37/15),11.0,2758.91,57.89
318,Maharashtra,BRAKE PARTS,ZF04N129267TG,ROTOR (BOLERO CRDE LH),2.0,2646.16,50.0
319,West Bengal,BRAKE PARTS,ZF047484447GM,MAJOR KIT W/C REAR,10.0,2607.8,100.0
320,West Bengal,BRAKE PARTS,ZF047484417GM,MAJOR KIT W/C FRONT,10.0,2607.8,100.0
321,Punjab,OTHERS,ZF04N264385SA,ELECTRONIC REGULATORS,5.0,2580.96,100.0
322,Bihar,BRAKE PARTS,ZF047144077GM,SHOE RETURN SPRING LOWER,120.0,2577.12,100.0
323,Andra Pradesh,BRAKE PARTS,ZF04N600497TC,Brake Pad_Tru Blue CERAMIC,2.0,2537.24,65.04
324,Jharkhand,BRAKE PARTS,ZF86AB74167GM,MINOR KIT W/C(J61/250),70.0,2531.1,52.46
325,Maharashtra,EMS,ZF04N264675SS,WHEEL SPEED SENSORS,5.0,2523.44,62.5
326,Maharashtra,BRAKE PARTS,ZF04N43140NIL,SEAL SET PISTON 3,20.0,2485.08,100.0
327,Rajasthan,OTHERS,ZF04N22285AFL,AIR FILTER MARUTI VAN,24.0,2472.34,100.0
328,Karnataka,BRAKE PARTS,ZF04N651917TG,ROTOR_VERNA RR,2.0,2468.21,100.0
329,Jharkhand,BRAKE PARTS,ZF04L719937GM,REPAR KIT AUTO ADJ. RH(J23/250),20.0,2454.4,83.33
330,Chandigarh,BRAKE PARTS,ZF04N244197TG,IAM BRAKE DISC TOYOTA COROLLA,2.0,2394.57,100.0
331,Tamil Nadu,BRAKE PARTS,ZF047149267GM,WC  LH (ACE ONE TONNER)(K43/40),6.0,2379.23,75.73
332,Maharashtra,BRAKE PARTS,ZF04L82048KIT,CMC Major Kit KIT272,10.0,2377.7,100.0
333,Madhya Pradesh,BRAKE PARTS,ZF04N643397TG,ROTOR_I20 (PETROL),2.0,2331.68,100.0
334,Punjab,EMS,ZF04N263475FP,IN-TANK FUEL PUMP,1.0,2321.71,100.0
335,Maharashtra,BRAKE PARTS,ZF047116697GM,AUTO ADJ ASSLY FRONT RH,10.0,2308.68,90.91
336,Chhattisgarh,BRAKE PARTS,ZF043189237GM,RR BRAKE ASSY RH(H22/4),1.0,2305.6,100.0
337,Manipur,EMS,ZF04N261955IC,IGNITION COIL,2.0,2258.05,100.0
338,Assam,EMS,ZF04N264935SS,WHEEL SPEED SENSORS,4.0,2230.44,100.0
339,Rajasthan,OTHERS,ZF04N36719AFL,AIR FILTER AMA_ZE,20.0,2223.12,100.0
340,Orissa,BRAKE PARTS,ZF043189327GM,STRUT SUB ASSSLY FRONT,10.0,2208.96,66.67
341,Assam,EMS,ZF04N344145FP,IN TANK FUAL PUMP Celerio-Petrol,2.0,2173.68,64.51
342,Orissa,BRAKE PARTS,ZF047141037GM,"CUP, SHOE HOLD DOWN",200.0,2147.6,100.0
343,Bihar,BRAKE PARTS,ZF047164167GM,SHOE RETURN SPRING (UPPER),120.0,2116.92,100.0
344,Kerala,EMS,ZF04N264915SS,WHEEL SPEED SENSORS,2.0,2018.74,66.67
345,Madhya Pradesh,BRAKE PARTS,ZF047144997GM,HOSE ASSY REAR BOTHSIDE BENJO,10.0,1986.54,53.22
346,Maharashtra,BRAKE PARTS,ZF047143097GM,SPRING SHOE RETURN LOWER,90.0,1933.26,100.0
347,Karnataka,BRAKE PARTS,ZF04N171497GM,PAD KIT,4.0,1929.76,57.14
348,Rajasthan,BRAKE PARTS,ZF047167947GM,REAR BRAKE ASSLY LH,2.0,1919.03,100.0
349,Gujarat,BRAKE PARTS,ZF04N31213KIT,"TMC ASSLY, WITH RES. W/O FLWI",2.0,1917.5,66.67
350,Maharashtra,BRAKE PARTS,ZF04L981777TW,PAD  KIT,40.0,1871.48,100.0
351,Maharashtra,BRAKE PARTS,ZF04L962257TW,PAD  KIT,40.0,1871.48,100.0
352,Maharashtra,BRAKE PARTS,ZF04L962317TW,PAD  KIT 2W,40.0,1871.48,100.0
353,Tamil Nadu,BRAKE PARTS,ZF04N155517TG,ROTOR (Skod_A Octavi_a Rr),2.0,1687.4,100.0
354,Jharkhand,BRAKE PARTS,ZF047484457GM,AUTO ADJUSTER KIT LH(J11/100),15.0,1649.81,75.05
355,Rajasthan,OTHERS,ZF04N25475AFL,A/F Kwid (Petrol),30.0,1646.1000000000001,75.0
356,Maharashtra,BRAKE PARTS,ZF86AB79087GM,MINOR KIT W/C(EQLNT),36.0,1629.1,100.0
357,Andra Pradesh,BRAKE PARTS,ZF04N601497TB,Brake Pad_Tru Blue,2.0,1616.84,65.04
358,Maharashtra,BRAKE PARTS,ZF04N604107TB,Brake Pad_Tru Blue,2.0,1547.8,66.67
359,Maharashtra,EMS,ZF04N261785IC,IGNITION COIL,10.0,1512.51,100.0
360,Orissa,BRAKE PARTS,ZF04N602897TC,Brake Pad_Tru Blue CERAMIC,1.0,1493.35,100.0
361,Orissa,BRAKE PARTS,ZF04N604777TC,Brake Pad_Tru Blue CERAMIC,2.0,1480.31,100.0
362,Tamil Nadu,BRAKE PARTS,ZF04N257667TW,Damper Unicorn,25.0,1476.48,100.0
363,Delhi,BRAKE PARTS,ZF047163477GM,STRUT (REAR),50.0,1457.3,100.0
364,Kerala,BRAKE PARTS,ZF04L71205KIT,MINOR KIT TMC,10.0,1449.64,83.33
365,Orissa,BRAKE PARTS,ZF04N602917TC,Brake Pad_Tru Blue CERAMIC,1.0,1423.55,100.0
366,Maharashtra,BRAKE PARTS,ZF047816987GM,W/C Minor KIT(J20/250),20.0,1411.28,100.0
367,Orissa,OTHERS,ZF04N21029AFL,"A/F GC-1000,BAJAJ 3W",24.0,1401.84,100.0
368,Gujarat,BRAKE PARTS,ZF04N604497TB,Brake Pad_Tru Blue,2.0,1389.8,66.67
369,Orissa,BRAKE PARTS,ZF047140037GM,SHOE SET PIN,100.0,1380.6,83.33
370,West Bengal,BRAKE PARTS,ZF047164417GM,SHOE RETURN SPRING UPPER (SUMO RAUS),100.0,1303.9,90.9
371,Maharashtra,BRAKE PARTS,ZF04L69673KIT,"CMC  ASSEMBLY, IAM FML CMC",2.0,1303.9,100.0
372,Rajasthan,OTHERS,ZF04N43134AFL,AIR FILTER- HONDA ACTIVA 3G 4G 5G,20.0,1302.72,100.0
373,Jharkhand,EMS,ZF04N264685SS,WHEEL SPEED SENSORS,2.0,1297.76,66.67
374,Jharkhand,BRAKE PARTS,ZF04L71208KIT,SERVICE KIT; PRY & SEC.PISTON SET,4.0,1239.48,100.0
375,Rajasthan,OTHERS,ZF04N25258AFL,A/F WagnoR K series,20.0,1231.92,100.0
376,Rajasthan,OTHERS,ZF04N50858AFL,"AIR FILTER, MnM XUV 300 BS4 & 6",6.0,1208.56,100.0
377,West Bengal,BRAKE PARTS,ZF04L67481KIT,MAJOR KIT TMC,3.0,1205.72,100.0
378,Maharashtra,BRAKE PARTS,ZF86AB74277GM,MINOR KIT W/C(J64/250),10.0,1173.51,100.0
379,Gujarat,BRAKE PARTS,ZF04L981807TW,PAD  KIT,25.0,1169.68,100.0
380,Gujarat,BRAKE PARTS,ZF04L962137TW,PAD  KIT,25.0,1169.68,50.0
381,Gujarat,BRAKE PARTS,ZF04L962287TW,PAD  KIT,25.0,1169.68,50.0
382,Maharashtra,BRAKE PARTS,ZF04L981897TW,PAD  KIT,25.0,1169.67,100.0
383,Maharashtra,EMS,ZF04N265135SS,WHEEL SPEED SENSORS,1.0,1152.03,100.0
384,Tamil Nadu,BRAKE PARTS,ZF04N222677TG,ROTOR (1000/Esteem)/Zen D),2.0,1150.5,100.0
385,Maharashtra,BRAKE PARTS,ZF047490437GM,Service kit; PINS,6.0,1149.72,60.18
386,Maharashtra,EMS,ZF04N263305FP,IN-TANK FUEL PUMP,1.0,1140.9,100.0
387,Rajasthan,BRAKE PARTS,ZF047145007GM,Front Hose,7.0,1127.5,63.64
388,Maharashtra,EMS,ZF04N265125SS,WHEEL SPEED SENSORS,1.0,1046.95,100.0
389,Chandigarh,BRAKE PARTS,ZF043183247GM,PIN,20.0,1043.12,100.0
390,Rajasthan,BRAKE PARTS,ZF043182917GM,STRUT SUB ASSLY RH(A.A),10.0,1027.78,100.0
391,Karnataka,EMS,ZF04N265115SS,WHEEL SPEED SENSORS,2.0,1001.7,100.0
392,West Bengal,OTHERS,ZF04N260794RL,DUAL HEAD LAMP RELAY,10.0,997.4000000000001,100.0
393,Rajasthan,OTHERS,ZF04N25278AFL,A/F Innova,5.0,991.2,100.0
394,Kerala,BRAKE PARTS,ZF86AB73447GM,KBX  PAD KIT,2.0,948.02,50.74
395,Kerala,BRAKE PARTS,ZF04L71196KIT,MINOR KIT TMC,3.0,938.8,100.0
396,Chhattisgarh,BRAKE PARTS,ZF04N58199KIT,"MAJOR TMC KIT, BOLERO (Ø23.81)",2.0,928.07,100.0
397,West Bengal,OTHERS,ZF04N260724RL,DUAL HEAD LAMP RELAY,10.0,910.6700000000001,100.0
398,Gujarat,BRAKE PARTS,ZF86AB72887GM,LINING KIT STD.NON ASB,2.0,908.13,100.0
399,Maharashtra,OTHERS,ZF04N260744RL,DUAL HEAD LAMP RELAY,2.0,906.6,100.0
400,Maharashtra,EMS,ZF04N264995SS,WHEEL SPEED SENSORS,1.0,902.0,100.0
401,Madhya Pradesh,OTHERS,ZF04N264564RL,RELAYS,20.0,868.48,86.02
402,Punjab,OTHERS,ZF04N260714RL,DUAL HEAD LAMP RELAY,6.0,851.37,100.0
403,Karnataka,BRAKE PARTS,ZF043189657GM,HOSE REAR,6.0,837.56,54.11
404,Kerala,EMS,ZF04N264795SS,WHEEL SPEED SENSORS,2.0,825.3,100.0
405,Orissa,OTHERS,ZF04N18361AFL,A/F Scorpio BSII,8.0,792.96,100.0
406,Tamil Nadu,BRAKE PARTS,ZF04N239897GM,Cubota Make Bellow,10.0,790.01,100.0
407,Maharashtra,BRAKE PARTS,ZF04N603927TB,Brake Pad_Tru Blue,1.0,779.28,100.0
408,Maharashtra,BRAKE PARTS,ZF047155177GM,BLEEDER SCREW,30.0,759.34,93.75
409,Rajasthan,OTHERS,ZF04N25474AFL,A/F Honda Activa New,20.0,743.4,100.0
410,Rajasthan,OTHERS,ZF04N36758AFL,AIR FILTER I10,8.0,719.32,80.0
411,West Bengal,BRAKE PARTS,ZF047143617GM,SPRING SHOE RETURN LOWER,50.0,690.3,71.41
412,Tamil Nadu,BRAKE PARTS,ZF04N236157GM,Front Wheel Seal Oil Seal (33 x 50 x 6),50.0,690.3,100.0
413,Orissa,OTHERS,ZF04N25253AFL,AIR FILTER,10.0,658.44,100.0
414,Maharashtra,BRAKE PARTS,ZF047155157GM,SCREW BLEEDER W/C,26.0,638.14,100.0
415,Rajasthan,OTHERS,ZF04N36761AFL,AIR FILTER AMA_ZE NEW MODEL,5.0,601.8,100.0
416,Jharkhand,BRAKE PARTS,ZF047171017GM,BACK PLATE ASSY LH,1.0,582.15,100.0
417,Chhattisgarh,BRAKE PARTS,ZF047149247GM,W/C ASSY.,2.0,572.18,66.67
418,Maharashtra,BRAKE PARTS,ZF047484487GM,KIT SHOE HIOLD DOWN (FR)(J14/50),10.0,552.24,100.0
419,Maharashtra,BRAKE PARTS,ZF04L719897GM,"SHOE HOLD DOWN KIT, MSIL K10",10.0,529.24,100.0
420,Maharashtra,BRAKE PARTS,ZF04L972727TW,PAD  KIT,10.0,521.56,100.0
421,Orissa,BRAKE PARTS,ZF04L774607GM,Caliper Kit Minor,2.0,513.89,100.0
422,Kerala,BRAKE PARTS,ZF047164107GM,HND BRAKE LEVER LH,5.0,506.22,100.0
423,Tamil Nadu,BRAKE PARTS,ZF04N301737GM,Engine Support Seal (Big),25.0,498.55,100.0
424,Maharashtra,BRAKE PARTS,ZF043183637GM,PAWL,20.0,490.88,100.0
425,Jharkhand,BRAKE PARTS,ZF043188937GM,AUTO ADJUST. SUB ASSLY LH RAUS R PUNCH,2.0,489.35,100.0
426,West Bengal,BRAKE PARTS,ZF047143367GM,SPRING ADJ. BOLT LH(RH ASSY.),45.0,483.21999999999997,100.0
427,Orissa,BRAKE PARTS,ZF047143407GM,"SPRING, SHOE HOLD DOWN",35.0,483.21,75.0
428,Tamil Nadu,BRAKE PARTS,ZF04N239907GM,ENGINE BELLOW (Big Bellow),6.0,478.61,100.0
429,Maharashtra,OTHERS,ZF04N260754RL,DUAL HEAD LAMP RELAY,2.0,457.14,100.0
430,Tamil Nadu,BRAKE PARTS,ZF04N237127GM,Front Fork Seal (56 x 95 x 8.3),12.0,441.79,100.0
431,Tamil Nadu,BRAKE PARTS,ZF04N239827GM,Oil Guage Stick (Dip Regular),20.0,429.52,100.0
432,Maharashtra,BRAKE PARTS,ZF047494207GM,RETURN SPRING(M.A),20.0,429.52,100.0
433,Maharashtra,BRAKE PARTS,ZF047145127GM,HOSE REAR BRAKE (264mm),2.0,283.79,100.0
434,Rajasthan,OTHERS,ZF04N50870AFL,"AIR FILTER, INNO_VA CRYS_TA",2.0,257.0,100.0
435,Tamil Nadu,BRAKE PARTS,ZF04N237167GM,Front Axle Oil Seal (26 x 33 x 4),25.0,249.28,100.0
436,Himachal Pradesh,BRAKE PARTS,ZF047144047GM,STRUT SPRING LH,10.0,245.44,100.0
437,West Bengal,BRAKE PARTS,ZF047164437GM,SHOE RETURN SPRING LOWER (SUMO RAUS),13.0,238.54999999999998,57.46
438,Maharashtra,BRAKE PARTS,ZF047145117GM,HOSE FRONT BRAKE (388mm),1.0,187.14,100.0
439,Maharashtra,BRAKE PARTS,ZF047140127GM,PIN SHOE HOLD DOWN,15.0,161.07999999999998,100.0
440,Maharashtra,BRAKE PARTS,ZF047484477GM,KIT SHOE HIOLD DOWN RR(J13/250),2.0,113.52,100.0
441,Maharashtra,OTHERS,ZF043184157GM,PLUG,10.0,95.82,100.0
442,Orissa,BRAKE PARTS,ZF047175117GM,"SPRING, SHOE SET(FRONT BR.)",10.0,92.03999999999999,100.0
443,West Bengal,BRAKE PARTS,ZF047163497GM,STRUT FRONT,2.0,61.36,100.0
444,Rajasthan,EMS,ZF04N263285FP,IN-TANK FUEL PUMP,-1.0,-981.76,100.0
445,Rajasthan,EMS,ZF04N311045FP,Fuel Pump Module_Wagon R k10,-1.0,-3055.72,100.0
446,Uttar Pradesh,BRAKE PARTS,ZF04L901607TW,FRONT FLOATING CALIPER ASSEMBLY Ø28,-19.0,-12804.48,100.0
